,Time Window,Mac,RSSI,Frame_length,MAC Period,Occurrences,Fingerprint,No.,latitude,longitude,gnss_altitude,Classification,utm_x,utm_y,distance
27,1035.0,52:d9:e5:be:00:d9,-97.0,17.0,10.6,1.0,a,26116455,58.664724734,16.455479052,203.65999752,0.0,584427.9232766115,6503635.91918292,129.1549665014884
31,1035.0,df:95:52:c1:64:87,-98.5,8.0,10.6,0.4,a,26116456,58.66473389,16.45547867,203.6999969,8.0,584427.8789985402,6503636.9380236585,146.7799267622069
28,1035.0,59:99:99:47:16:29,-97.0,28.0,10.6,0.6,a,26116459,58.66473389,16.45547867,203.6999969,10.0,584427.8789985402,6503636.9380236585,129.1549665014884
25,1035.0,00:15:f3:20:9d:2b,-100.0,21.0,10.6,0.4,a,26116464,58.66473389,16.45547867,203.6999969,9.0,584427.8789985402,6503636.9380236585,166.81005372000593
33,1040.0,52:d9:e5:be:00:d9,-97.0,17.0,10.6,0.4,a,26116492,58.66468811,16.45548248,203.3000031,0.0,584428.2105914645,6503631.846211622,129.1549665014884
34,1040.0,60:18:fc:6c:6b:20,-100.0,17.0,10.6,0.2,a,26116493,58.66468811,16.45548248,203.3000031,7.0,584428.2105914645,6503631.846211622,166.81005372000593
36,1040.0,c5:7b:cc:06:8a:51,-98.0,28.0,10.6,0.4,a,26116495,58.66468811,16.45548248,203.3000031,1.0,584428.2105914645,6503631.846211622,140.6527242105238
35,1040.0,65:35:ab:b3:d1:e0,-97.0,18.0,10.6,0.2,a,26116498,58.66469193,16.4554863,206.1999969,5.0,584428.4229269794,6503632.2762940675,129.1549665014884
37,1040.0,df:95:52:c1:64:87,-101.0,8.0,10.6,0.2,a,26116499,58.66469193,16.4554863,206.1999969,8.0,584428.4229269794,6503632.2762940675,181.65997883753266
38,1045.0,52:d9:e5:be:00:d9,-99.0,17.0,10.6,1.0,a,26116502,58.664692691999996,16.455488964,206.13999629999998,0.0,584428.5756013672,6503632.364479559,153.17404637020798
39,1050.0,52:d9:e5:be:00:d9,-96.0,17.0,2.983598999999913,1.0,a,26116667,58.66469955,16.455496594,206.26000061999997,0.0,584429.0015815877,6503633.137573221,118.59710123376694
42,1050.0,df:95:52:c1:64:87,-96.0,8.0,10.6,0.2,a,26116669,58.66469955,16.45549583,206.3000031,8.0,584428.9572686079,6503633.136611517,118.59710123376694
41,1050.0,d4:5c:f0:4d:b8:06,-97.0,27.0,2.983598999999913,1.8,Q_670E335B,26116670,58.66470039777778,16.45549752777778,206.26666596666666,3.0,584429.0536935745,6503633.233130263,129.1549665014884
40,1050.0,65:35:ab:b3:d1:e0,-96.0,18.0,10.6,0.6,a,26116686,58.66469955,16.45549774,206.1999969,5.0,584429.0680510573,6503633.139015776,118.59710123376694
49,1055.0,f5:f7:c7:9e:a5:1f,-97.0,56.0,10.6,0.2,BSC IP65 12/5 HQ2232PD6T3,26116700,58.66470718,16.45550156,206.3000031,12.0,584429.2711810067,6503633.993258954,129.1549665014884
46,1055.0,65:35:ab:b3:d1:e0,-98.0,18.0,10.6,0.4,a,26116701,58.664703365,16.45550251,206.0999985,5.0,584429.3354996936,6503633.569737471,140.6527242105238
43,1055.0,52:d9:e5:be:00:d9,-99.0,17.0,2.7719680000000153,1.0,a,26116702,58.66470107600001,16.455504605999998,206.55999758,0.0,584429.4626008645,6503633.317545481,153.17404637020798
48,1055.0,df:95:52:c1:64:87,-92.5,8.0,10.6,0.4,a,26116708,58.66469955,16.455507275000002,207.7000046,8.0,584429.6210932848,6503633.151018242,87.99225435691069
45,1055.0,5e:56:88:7a:1d:09,-100.0,17.0,10.6,0.2,a,26116709,58.66469955,16.45550346,206.6000061,49.0,584429.3998183925,6503633.146215988,166.81005372000593
47,1055.0,d4:5c:f0:4d:b8:06,-104.0,27.0,10.6,0.2,Q_670E335B,26116711,58.66469955,16.45551109,208.8000031,3.0,584429.8423681767,6503633.15582051,234.62288481422624
44,1055.0,56:01:80:05:e1:b7,-97.0,26.0,10.6,0.2,a,26116714,58.66470337,16.45551491,209.3000031,23.0,584430.0547034352,6503633.5859030485,129.1549665014884
50,1060.0,52:d9:e5:be:00:d9,-96.0,17.0,10.6,0.6,a,26116730,58.664703370000005,16.45551491,209.3000031,0.0,584430.0547034352,6503633.585903049,118.59710123376694
