,Time Window,Mac,RSSI,Frame_length,MAC Period,Occurrences,Fingerprint,No.,latitude,longitude,gnss_altitude,Classification,utm_x,utm_y,distance
283,1185.0,56:01:80:05:e1:b7,-92.0,35.34782608695652,10.6,4.6,a,26118518,58.66464233,16.45536041,191.80000309999997,23.0,584421.2409714136,6503626.595952869,84.31909292866256
299,1185.0,c5:7b:cc:06:8a:51,-95.0,28.0,10.6,0.6,a,26118519,58.66464233,16.45536041,191.8000031,1.0,584421.2409714136,6503626.595952869,108.90229622637305
291,1185.0,63:35:fa:c5:7a:89,-100.0,17.0,10.6,0.8,a,26118522,58.66464233,16.45536041,191.8000031,17.0,584421.2409714136,6503626.595952869,166.81005372000593
281,1185.0,44:20:a9:69:0c:92,-94.0,18.0,10.6,4.4,a,26118524,58.66464233,16.45536041,191.80000310000003,16.0,584421.2409714136,6503626.595952869,100.0
300,1185.0,c6:86:5b:f6:89:b6,-90.0,27.0,10.6,1.0,a,26118529,58.66464233000001,16.45536041,191.8000031,22.0,584421.2409714136,6503626.595952869,71.09709432312435
282,1185.0,52:d9:e5:be:00:d9,-95.5,17.0,10.6,2.4,a,26118532,58.66464233,16.45536041,191.8000031,0.0,584421.2409714136,6503626.595952869,113.64636663857242
287,1185.0,5a:e8:e6:14:9b:ff,-97.0,18.0,10.6,0.2,a,26118535,58.66464233,16.45536041,191.8000031,19.0,584421.2409714136,6503626.595952869,129.1549665014884
308,1185.0,e8:70:7b:ae:08:ad,-95.0,8.0,10.6,0.6,a,26118539,58.66464233,16.45536041,191.8000031,39.0,584421.2409714136,6503626.595952869,108.90229622637305
304,1185.0,d3:7a:34:8e:16:cc,-89.0,27.0,10.6,0.2,a,26118540,58.66464233,16.45536041,191.8000031,25.0,584421.2409714136,6503626.595952869,65.28521141127847
307,1185.0,df:95:52:c1:64:87,-96.0,8.0,10.6,0.4,a,26118546,58.66464233,16.45536041,191.8000031,8.0,584421.2409714136,6503626.595952869,118.59710123376694
289,1185.0,60:18:fc:6c:6b:20,-90.0,17.0,10.6,0.6,a,26118548,58.66464233,16.45536041,191.8000031,7.0,584421.2409714136,6503626.595952869,71.09709432312435
285,1185.0,58:6e:74:23:fd:d5,-99.0,39.0,10.6,0.2,a,26118549,58.66464233,16.45536041,191.8000031,53.0,584421.2409714136,6503626.595952869,153.17404637020798
309,1185.0,e8:a8:e0:28:59:e0,-90.0,27.0,10.6,0.4,a,26118551,58.66464233,16.45536041,191.8000031,21.0,584421.2409714136,6503626.595952869,71.09709432312435
293,1185.0,67:7f:73:40:8d:90,-95.5,17.0,10.6,0.4,a,26118552,58.66464233,16.45536041,191.8000031,61.0,584421.2409714136,6503626.595952869,113.64636663857242
294,1185.0,74:cf:ba:04:75:56,-98.0,17.0,10.6,0.2,a,26118561,58.66464233,16.45536041,191.8000031,20.0,584421.2409714136,6503626.595952869,140.6527242105238
295,1185.0,76:8c:e8:3c:bc:a5,-98.0,18.0,10.6,0.4,a,26118569,58.66464233,16.45536041,191.8000031,26.0,584421.2409714136,6503626.595952869,140.6527242105238
280,1185.0,1b:b2:42:44:72:86,-101.0,31.0,10.6,0.2,a,26118574,58.66464233,16.45536041,191.8000031,6.0,584421.2409714136,6503626.595952869,181.65997883753266
286,1185.0,5a:8c:28:43:c6:5c,-105.0,18.0,10.6,0.2,a,26118578,58.66464233,16.45536041,191.8000031,35.0,584421.2409714136,6503626.595952869,255.5097090352507
303,1185.0,d0:46:7a:34:82:2b,-97.0,8.0,10.6,0.2,a,26118586,58.66464233,16.45536041,191.8000031,39.0,584421.2409714136,6503626.595952869,129.1549665014884
301,1185.0,ce:2e:0e:b2:67:79,-91.5,28.0,10.6,0.4,PN_0CD1623B,26118589,58.66464233,16.45536041,191.8000031,27.0,584421.2409714136,6503626.595952869,80.7992644838296
297,1185.0,7b:f6:05:05:3f:2e,-91.0,28.5,10.6,0.8,a,26118605,58.66464233,16.45536041,191.8000031,56.0,584421.2409714136,6503626.595952869,77.4263682681127
298,1185.0,c1:8c:19:46:d3:df,-98.0,8.0,10.6,0.2,a,26118629,58.66464233,16.45536041,191.8000031,64.0,584421.2409714136,6503626.595952869,140.6527242105238
310,1185.0,e8:ee:cc:01:eb:b7,-95.0,19.0,10.6,0.2,a,26118666,58.66464233,16.45536041,191.8000031,28.0,584421.2409714136,6503626.595952869,108.90229622637305
317,1190.0,d4:5c:f0:4d:b8:06,-92.0,27.0,10.6,1.8,Q_670E335B,26118686,58.665058140000006,16.45671272,208.5,3.0,584498.6713234759,6503674.590234783,84.31909292866256
313,1190.0,61:f8:73:54:ea:25,-97.0,18.0,10.6,0.2,a,26118687,58.66505814,16.45671272,208.5,4.0,584498.6713234759,6503674.590234783,129.1549665014884
318,1190.0,d4:d4:da:70:22:e6,-99.0,27.0,10.6,0.2,ZAG002466,26118691,58.66505814,16.45671272,208.5,37.0,584498.6713234759,6503674.590234783,153.17404637020798
314,1190.0,65:35:ab:b3:d1:e0,-95.0,18.0,10.6,0.8,a,26118692,58.6650772125,16.45671892,209.125,5.0,584498.984807586,6503676.72135356,108.90229622637305
316,1190.0,ce:33:6e:06:51:f8,-91.0,8.0,10.6,0.2,a,26118696,58.66505814,16.45671272,208.5,64.0,584498.6713234759,6503674.590234783,77.4263682681127
312,1190.0,57:47:61:34:88:9a,-96.0,17.0,10.6,0.2,a,26118698,58.66505814,16.45671272,208.5,47.0,584498.6713234759,6503674.590234783,118.59710123376694
315,1190.0,74:cf:ba:04:75:56,-96.0,17.0,10.6,0.2,a,26118703,58.66513443,16.45673752,211.0,20.0,584499.9252574998,6503683.114710097,118.59710123376694
327,1195.0,ed:aa:7a:08:7c:b6,-95.0,8.0,10.6,0.6,a,26118728,58.66516495,16.45676804,210.3999939,18.0,584501.6216298275,6503686.550898707,108.90229622637305
325,1195.0,d3:7a:34:8e:16:cc,-98.0,27.0,10.6,0.2,a,26118729,58.66516495,16.45676804,210.3999939,25.0,584501.6216298275,6503686.550898707,140.6527242105238
326,1195.0,d4:5c:f0:4d:b8:06,-94.0,27.0,10.6,2.2,Q_670E335B,26118731,58.665141368181814,16.45689843272727,201.19999833636365,3.0,584509.2415037458,6503684.089860886,100.0
322,1195.0,65:35:ab:b3:d1:e0,-89.5,18.0,10.6,1.6,a,26118732,58.66515684375,16.4568128625,207.237495425,5.0,584504.2409603598,6503685.704915281,68.12920690579611
324,1195.0,ce:33:6e:06:51:f8,-93.5,8.0,10.6,0.8,a,26118734,58.66516495,16.45676804,210.3999939,64.0,584501.6216298275,6503686.550898707,95.82558549602649
328,1195.0,f2:f7:78:71:7e:2e,-97.0,8.0,10.6,0.2,a,26118736,58.66516495,16.45676804,210.3999939,39.0,584501.6216298275,6503686.550898707,129.1549665014884
320,1195.0,52:d9:e5:be:00:d9,-98.0,17.0,10.6,0.2,a,26118739,58.66516495,16.45676804,210.3999939,0.0,584501.6216298275,6503686.550898707,140.6527242105238
319,1195.0,44:20:a9:69:0c:92,-97.0,18.0,10.6,0.2,a,26118741,58.66516495,16.45676804,210.3999939,16.0,584501.6216298275,6503686.550898707,129.1549665014884
321,1195.0,57:47:61:34:88:9a,-89.0,17.0,10.6,0.2,a,26118750,58.66516495,16.45676804,210.3999939,47.0,584501.6216298275,6503686.550898707,65.28521141127847
323,1195.0,74:cf:ba:04:75:56,-99.0,17.0,10.6,0.2,a,26118756,58.6651001,16.45712662,185.1000061,20.0,584522.5763071523,6503679.78308045,153.17404637020798
333,1200.0,d4:5c:f0:4d:b8:06,-96.0,27.0,10.6,1.2,Q_670E335B,26118763,58.66510581833333,16.457214995,192.53333023333334,3.0,584527.6882774996,6503680.531063788,118.59710123376694
331,1200.0,65:35:ab:b3:d1:e0,-93.0,18.0,10.6,1.2,a,26118764,58.66511154,16.45718575,190.6999969,5.0,584525.9782100514,6503681.1311911205,91.82542835656287
330,1200.0,57:47:61:34:88:9a,-90.0,17.0,10.6,0.4,a,26118765,58.66511154,16.45718575,190.6999969,47.0,584525.9782100514,6503681.1311911205,71.09709432312435
332,1200.0,c5:7b:cc:06:8a:51,-96.0,28.0,10.6,0.2,a,26118777,58.66511154,16.45718575,190.6999969,1.0,584525.9782100514,6503681.1311911205,118.59710123376694
329,1200.0,4c:1d:01:b5:bf:a9,-97.0,19.0,10.6,0.2,a,26118779,58.66507721,16.45736122,201.6999969,28.0,584536.2386229099,6503677.530438352,129.1549665014884
334,1200.0,fc:df:91:6b:40:88,-94.0,8.0,10.6,0.2,a,26118781,58.66507721,16.45736122,201.6999969,55.0,584536.2386229099,6503677.530438352,100.0
366,1210.0,f5:f7:c7:9e:a5:1f,-92.0,52.72727272727273,10.6,6.6,a,26118789,58.66462291181818,16.45535625,194.05454186363636,12.0,584421.046597496,6503624.428924362,84.31909292866256
341,1210.0,56:01:80:05:e1:b7,-94.0,37.9375,10.6,6.4,a,26118790,58.664619801875,16.45535558375,194.4156203375,23.0,584421.0154672723,6503624.081861204,100.0
355,1210.0,c5:7b:cc:06:8a:51,-96.0,33.0,3.699052000000165,2.4,a,26118791,58.664697645,16.45568784,194.94999696666665,1.0,584440.0986979178,6503633.166244368,118.59710123376694
337,1210.0,44:20:a9:69:0c:92,-95.0,18.0,10.6,2.2,a,26118792,58.664618057272726,16.45535521,194.61817655454544,16.0,584420.9980039733,6503623.887167236,108.90229622637305
348,1210.0,67:7f:73:40:8d:90,-97.0,17.0,10.6,0.6,a,26118793,58.66463343,16.455358503333333,192.83333336666666,61.0,584421.1518834025,6503625.602731467,129.1549665014884
340,1210.0,52:d9:e5:be:00:d9,-95.5,17.0,10.6,2.4,a,26118798,58.664622305,16.45535612,194.12499620000003,0.0,584421.0405233067,6503624.361204721,113.64636663857242
360,1210.0,d0:46:7a:34:82:2b,-101.0,8.0,10.6,0.2,a,26118799,58.66464233,16.45536041,191.8000031,39.0,584421.2409714136,6503626.595952869,181.65997883753266
351,1210.0,74:cf:ba:04:75:56,-94.0,17.0,10.6,0.6,a,26118801,58.66462453,16.455356596666665,193.86666363333333,20.0,584421.0627953331,6503624.609510069,100.0
361,1210.0,d3:7a:34:8e:16:cc,-94.0,27.0,10.6,0.6,a,26118804,58.66462453,16.455356596666665,193.86666363333333,25.0,584421.0627953331,6503624.609510069,100.0
365,1210.0,e8:ee:cc:01:eb:b7,-96.5,19.0,10.6,0.4,a,26118807,58.66464233,16.45536041,191.8000031,28.0,584421.2409714136,6503626.595952869,123.76350284724813
342,1210.0,5a:8c:28:43:c6:5c,-98.0,18.0,10.6,0.2,a,26118809,58.66464233,16.45536041,191.8000031,35.0,584421.2409714136,6503626.595952869,140.6527242105238
344,1210.0,5e:56:88:7a:1d:09,-90.0,17.0,10.6,0.6,a,26118811,58.66462453,16.455356596666665,193.86666363333333,49.0,584421.0627953331,6503624.609510069,71.09709432312435
345,1210.0,60:18:fc:6c:6b:20,-95.0,17.0,10.6,0.8,a,26118812,58.664622305,16.45535612,194.1249962,7.0,584421.0405233067,6503624.361204721,108.90229622637305
364,1210.0,e8:a8:e0:28:59:e0,-96.0,27.0,10.6,0.2,a,26118814,58.66464233,16.45536041,191.8000031,21.0,584421.2409714136,6503626.595952869,118.59710123376694
357,1210.0,ce:2e:0e:b2:67:79,-92.0,28.0,10.6,0.4,PN_0CD1623B,26118815,58.66462898,16.455357550000002,193.3499985,27.0,584421.1073393752,6503625.10612077,84.31909292866256
356,1210.0,c6:86:5b:f6:89:b6,-92.0,27.0,10.6,0.6,a,26118819,58.66462453,16.455356596666665,193.86666363333333,22.0,584421.0627953331,6503624.609510069,84.31909292866256
338,1210.0,46:c9:05:95:69:e9,-101.0,18.0,10.6,0.2,a,26118821,58.66464233,16.45536041,191.8000031,35.0,584421.2409714136,6503626.595952869,181.65997883753266
346,1210.0,63:35:fa:c5:7a:89,-101.0,17.0,10.6,0.2,a,26118822,58.66464233,16.45536041,191.8000031,17.0,584421.2409714136,6503626.595952869,181.65997883753266
350,1210.0,74:04:9e:8a:89:81,-98.5,17.0,10.6,0.4,a,26118828,58.66461563,16.45535469,194.8999939,65.0,584420.9737072053,6503623.616288674,146.7799267622069
335,1210.0,00:15:f3:25:90:c1,-100.0,31.0,10.6,0.4,3M CH1-0C1,26118834,58.66461563,16.45535469,194.8999939,33.0,584420.9737072053,6503623.616288674,166.81005372000593
336,1210.0,1b:b2:42:44:72:86,-97.0,31.0,10.6,0.2,a,26118851,58.66461563,16.45535469,194.8999939,6.0,584420.9737072053,6503623.616288674,129.1549665014884
352,1210.0,76:55:a4:fc:0e:90,-86.0,19.0,10.6,1.4,a,26118864,58.66461563,16.45535469,194.8999939,13.0,584420.9737072053,6503623.616288674,50.547968211912405
354,1210.0,c1:8c:19:46:d3:df,-95.0,8.0,10.6,0.2,a,26118869,58.66461563,16.45535469,194.8999939,64.0,584420.9737072053,6503623.616288674,108.90229622637305
363,1210.0,df:95:52:c1:64:87,-96.5,8.0,10.6,0.4,a,26118877,58.66461563,16.45535469,194.8999939,8.0,584420.9737072053,6503623.616288674,123.76350284724813
343,1210.0,5a:e8:e6:14:9b:ff,-98.0,18.0,10.6,0.2,a,26118880,58.66461563,16.45535469,194.8999939,19.0,584420.9737072053,6503623.616288674,140.6527242105238
353,1210.0,76:8c:e8:3c:bc:a5,-100.0,18.0,10.6,0.2,a,26118881,58.66461563,16.45535469,194.8999939,26.0,584420.9737072053,6503623.616288674,166.81005372000593
347,1210.0,65:35:ab:b3:d1:e0,-96.0,18.0,10.6,0.6,a,26118954,58.665011086666674,16.45732434333333,202.33333336666666,5.0,584534.2597150737,6503670.122566869,118.59710123376694
339,1210.0,4c:1d:01:b5:bf:a9,-101.0,19.0,10.6,0.2,a,26118956,58.66505432,16.45734215,201.3999939,28.0,584535.1879258391,6503674.958099956,181.65997883753266
362,1210.0,d4:5c:f0:4d:b8:06,-98.0,27.0,10.6,0.6,Q_670E335B,26118959,58.665011086666674,16.45732434333333,202.33333336666666,3.0,584534.2597150737,6503670.122566869,140.6527242105238
358,1210.0,ce:33:6e:06:51:f8,-94.0,8.0,10.6,0.2,a,26118961,58.66498947,16.45731544,202.8000031,64.0,584533.7956087132,6503667.704800427,100.0
376,1215.0,d4:5c:f0:4d:b8:06,-99.0,27.0,10.6,0.4,Q_670E335B,26118965,58.66495514,16.45731163,203.3000031,3.0,584533.6576743397,6503663.8781005135,153.17404637020798
367,1215.0,4c:1d:01:b5:bf:a9,-96.0,19.0,10.6,1.0,a,26118968,58.66495514,16.45731163,203.3000031,28.0,584533.6576743397,6503663.8781005135,118.59710123376694
374,1215.0,c5:7b:cc:06:8a:51,-96.0,37.23076923076923,10.6,2.6,a,26118969,58.664869748461534,16.45728962153846,203.43846251538463,1.0,584532.587734795,6503654.343874107,118.59710123376694
372,1215.0,65:35:ab:b3:d1:e0,-96.0,18.0,10.6,0.6,a,26118970,58.66495514,16.45731163,203.3000031,5.0,584533.6576743397,6503663.8781005135,118.59710123376694
370,1215.0,60:18:fc:6c:6b:20,-99.0,17.0,10.6,0.4,a,26118973,58.66495514,16.45731163,203.3000031,7.0,584533.6576743397,6503663.8781005135,153.17404637020798
378,1215.0,fc:df:91:6b:40:88,-97.0,8.0,10.6,0.2,a,26118974,58.66495514,16.45731163,203.3000031,55.0,584533.6576743397,6503663.8781005135,129.1549665014884
368,1215.0,59:9b:18:cd:7d:b8,-99.0,17.0,10.6,0.4,a,26118976,58.664770125,16.457263945,203.5999985,65.0,584531.3394638585,6503643.220610537,153.17404637020798
373,1215.0,c1:8c:19:46:d3:df,-97.5,8.0,10.6,0.4,a,26118978,58.66495514,16.45731163,203.3000031,64.0,584533.6576743397,6503663.8781005135,134.78129649084582
369,1215.0,5e:56:88:7a:1d:09,-99.0,17.0,10.6,0.4,a,26118980,58.664770125,16.457263945,203.5999985,49.0,584531.3394638585,6503643.220610537,153.17404637020798
377,1215.0,e8:a8:e0:28:59:e0,-98.0,27.0,10.6,0.2,a,26118992,58.66495514,16.45731163,203.3000031,21.0,584533.6576743397,6503663.8781005135,140.6527242105238
375,1215.0,c6:86:5b:f6:89:b6,-101.0,27.0,10.6,0.2,a,26118995,58.66495514,16.45731163,203.3000031,22.0,584533.6576743397,6503663.8781005135,181.65997883753266
371,1215.0,61:f8:73:54:ea:25,-96.0,18.0,10.6,0.2,a,26118996,58.66495514,16.45731163,203.3000031,4.0,584533.6576743397,6503663.8781005135,118.59710123376694
379,1220.0,4c:1d:01:b5:bf:a9,-94.0,19.0,10.6,0.8,a,26119019,58.66455078,16.45721054,203.1999969,28.0,584528.772497331,6503618.734016111,100.0
388,1220.0,fc:df:91:6b:40:88,-94.0,8.0,10.6,0.2,a,26119020,58.66455078,16.45721054,203.1999969,55.0,584528.772497331,6503618.734016111,100.0
385,1220.0,c5:7b:cc:06:8a:51,-95.0,31.333333333333332,10.6,1.8,a,26119021,58.66455078,16.45721054,203.1999969,1.0,584528.772497331,6503618.734016111,108.90229622637305
382,1220.0,59:9b:18:cd:7d:b8,-97.0,17.0,10.6,0.6,a,26119031,58.66450373333333,16.457201639999997,203.3666635666667,65.0,584528.3700865785,6503613.485178088,129.1549665014884
380,1220.0,52:d9:e5:be:00:d9,-96.0,17.0,10.6,0.2,a,26119034,58.66455078,16.45721054,203.1999969,0.0,584528.772497331,6503618.734016111,118.59710123376694
384,1220.0,c1:8c:19:46:d3:df,-97.0,8.0,10.6,0.4,a,26119037,58.66448021,16.45719719,203.4499969,64.0,584528.168880659,6503610.8607591055,129.1549665014884
381,1220.0,58:6e:74:23:fd:d5,-96.0,18.0,10.6,0.2,a,26119038,58.66455078,16.45721054,203.1999969,53.0,584528.772497331,6503618.734016111,118.59710123376694
387,1220.0,e8:a8:e0:28:59:e0,-95.0,27.0,10.6,0.2,a,26119040,58.66455078,16.45721054,203.1999969,21.0,584528.772497331,6503618.734016111,108.90229622637305
386,1220.0,d0:60:03:0f:d6:75,-99.0,8.0,10.6,0.2,a,26119041,58.66455078,16.45721054,203.1999969,14.0,584528.772497331,6503618.734016111,153.17404637020798
383,1220.0,79:4d:ec:f3:11:e1,-96.0,38.0,10.6,0.4,a,26119042,58.66440964,16.45718384,203.6999969,45.0,584527.565260727,6503602.987502292,118.59710123376694
390,1225.0,59:9b:18:cd:7d:b8,-101.0,17.0,10.6,0.2,a,26119047,58.66437149,16.45717621,203.6999969,65.0,584527.2149879243,6503598.730715083,181.65997883753266
391,1225.0,5e:56:88:7a:1d:09,-93.0,17.0,10.6,0.2,a,26119048,58.66437149,16.45717621,203.6999969,49.0,584527.2149879243,6503598.730715083,91.82542835656287
398,1225.0,ce:33:6e:06:51:f8,-97.0,8.0,10.6,0.2,a,26119049,58.66437149,16.45717621,203.6999969,64.0,584527.2149879243,6503598.730715083,129.1549665014884
393,1225.0,65:35:ab:b3:d1:e0,-98.0,18.0,10.6,0.2,a,26119051,58.66437149,16.45717621,203.6999969,5.0,584527.2149879243,6503598.730715083,140.6527242105238
396,1225.0,c5:7b:cc:06:8a:51,-94.5,28.0,3.435346999999865,1.2,a,26119052,58.66419792166667,16.45712852666667,203.26667026666667,1.0,584524.8690962039,6503579.347570352,104.35626297753913
394,1225.0,76:8c:e8:3c:bc:a5,-99.5,18.0,10.6,0.4,a,26119079,58.6641922,16.45712662,203.3000031,26.0,584524.7723451003,6503578.708184621,159.84671064343198
392,1225.0,61:f8:73:54:ea:25,-98.0,18.0,10.6,0.2,a,26119080,58.6641922,16.45712662,203.3000031,4.0,584524.7723451003,6503578.708184621,140.6527242105238
397,1225.0,cc:b1:1a:e5:07:f9,-96.0,31.0,10.6,0.2,a,26119082,58.6641922,16.45712662,203.3000031,29.0,584524.7723451003,6503578.708184621,118.59710123376694
389,1225.0,57:47:61:34:88:9a,-100.0,17.0,10.6,0.2,a,26119084,58.66412354,16.45710182,202.6999969,47.0,584523.4999647009,6503571.033136572,166.81005372000593
395,1225.0,c1:8c:19:46:d3:df,-101.0,8.0,10.6,0.2,a,26119085,58.66412354,16.45710182,202.6999969,64.0,584523.4999647009,6503571.033136572,181.65997883753266
405,1230.0,5e:56:88:7a:1d:09,-89.0,17.0,10.6,0.2,a,26119086,58.66461563,16.45535469,194.8999939,49.0,584420.9737072053,6503623.616288674,65.28521141127847
421,1230.0,f5:f7:c7:9e:a5:1f,-90.0,53.42857142857143,10.6,4.2,a,26119087,58.66461562999999,16.45535796047619,194.9952319952381,12.0,584421.1633994794,6503623.620405075,71.09709432312435
401,1230.0,56:01:80:05:e1:b7,-93.0,39.86046511627907,10.6,17.2,a,26119088,58.66461563,16.455358683023256,195.01627296976747,23.0,584421.2053082378,6503623.621314516,91.82542835656287
412,1230.0,c5:7b:cc:06:8a:51,-99.0,28.0,10.6,0.6,a,26119089,58.66461562999999,16.455360413333334,195.06666056666666,1.0,584421.3056686851,6503623.623492384,153.17404637020798
402,1230.0,58:6e:74:23:fd:d5,-98.0,18.0,10.6,0.6,a,26119090,58.66461562999999,16.45535469,194.8999939,53.0,584420.9737072053,6503623.616288672,140.6527242105238
400,1230.0,52:d9:e5:be:00:d9,-97.0,17.0,2.6349149999998644,0.6,a,26119091,58.66441472333333,16.45593198,197.29999796666667,0.0,584454.9429029488,6503601.976453524,129.1549665014884
413,1230.0,c6:86:5b:f6:89:b6,-86.0,27.0,10.6,0.4,a,26119099,58.66461563,16.45535469,194.8999939,22.0,584420.9737072053,6503623.616288674,50.547968211912405
407,1230.0,63:35:fa:c5:7a:89,-98.0,17.0,10.6,0.6,a,26119115,58.66461562999999,16.455360413333334,195.06666056666666,17.0,584421.3056686851,6503623.623492384,140.6527242105238
399,1230.0,44:20:a9:69:0c:92,-93.0,18.0,10.6,1.4,a,26119116,58.66461563,16.45535469,194.8999939,16.0,584420.9737072053,6503623.616288674,91.82542835656287
419,1230.0,e8:70:7b:ae:08:ad,-93.0,8.0,10.6,0.4,a,26119120,58.66461563,16.455363275,195.1499939,39.0,584421.4716494249,6503623.627094251,91.82542835656287
409,1230.0,74:cf:ba:04:75:56,-93.5,17.0,10.6,0.4,a,26119121,58.66461563,16.455363275,195.1499939,20.0,584421.4716494249,6503623.627094251,95.82558549602649
417,1230.0,d3:7a:34:8e:16:cc,-91.0,27.0,10.6,0.2,a,26119124,58.66461563,16.45535469,194.8999939,25.0,584420.9737072053,6503623.616288674,77.4263682681127
408,1230.0,67:7f:73:40:8d:90,-97.0,17.0,10.6,0.8,a,26119129,58.66461563,16.4553589825,195.0249939,61.0,584421.2226783152,6503623.621691456,129.1549665014884
406,1230.0,60:18:fc:6c:6b:20,-92.0,17.0,10.6,0.4,a,26119134,58.66461563,16.45535469,194.8999939,7.0,584420.9737072053,6503623.616288674,84.31909292866256
420,1230.0,e8:a8:e0:28:59:e0,-87.0,27.0,10.6,0.6,a,26119142,58.66461562999999,16.455360413333334,195.06666056666666,21.0,584421.3056686851,6503623.623492384,55.04789807854971
414,1230.0,ce:2e:0e:b2:67:79,-94.0,28.0,10.6,0.2,PN_0CD1623B,26119143,58.66461563,16.45535469,194.8999939,27.0,584420.9737072053,6503623.616288674,100.0
411,1230.0,c1:8c:19:46:d3:df,-99.0,8.0,10.6,0.2,a,26119163,58.66461563,16.45535469,194.8999939,64.0,584420.9737072053,6503623.616288674,153.17404637020798
415,1230.0,d0:46:7a:34:82:2b,-98.0,8.0,10.6,0.2,a,26119168,58.66461563,16.45535469,194.8999939,39.0,584420.9737072053,6503623.616288674,140.6527242105238
416,1230.0,d0:60:03:0f:d6:75,-95.0,8.0,10.6,0.2,a,26119203,58.66461563,16.45535469,194.8999939,14.0,584420.9737072053,6503623.616288674,108.90229622637305
418,1230.0,df:95:52:c1:64:87,-97.0,8.0,10.6,0.2,a,26119225,58.66461563,16.45537186,195.3999939,8.0,584421.9695916438,6503623.6378998915,129.1549665014884
404,1230.0,5a:e8:e6:14:9b:ff,-97.0,31.0,10.6,0.2,a,26119235,58.66461563,16.45537186,195.3999939,19.0,584421.9695916438,6503623.6378998915,129.1549665014884
403,1230.0,59:9b:18:cd:7d:b8,-95.5,17.0,10.6,0.4,a,26119237,58.6640892,16.45709229,202.8000031,65.0,584523.0302630544,6503567.198116145,113.64636663857242
410,1230.0,79:4d:ec:f3:11:e1,-98.0,38.0,10.6,0.2,a,26119241,58.66401291,16.45708656,202.1000061,45.0,584522.882434795,6503558.697665748,140.6527242105238
435,1235.0,c5:7b:cc:06:8a:51,-94.0,31.333333333333332,0.08270399999992151,5.4,a,26119269,58.66437346814815,16.456010325925927,196.77407666666664,1.0,584459.5868154767,6503597.482238643,100.0
425,1235.0,52:d9:e5:be:00:d9,-98.0,17.0,0.08270399999992151,1.6,a,26119271,58.66436386125,16.456013205,197.8624992375,0.0,584459.7770264435,6503596.416344932,140.6527242105238
428,1235.0,59:9b:18:cd:7d:b8,-95.0,17.0,10.6,0.2,a,26119274,58.66397858,16.45708275,202.3999939,65.0,584522.7444803155,6503554.870966875,108.90229622637305
433,1235.0,67:7f:73:40:8d:90,-95.5,17.0,0.08270399999992151,0.8,a,26119277,58.664439200000004,16.4557995825,197.07499695,61.0,584447.2044657781,6503604.534696254,113.64636663857242
426,1235.0,56:01:80:05:e1:b7,-95.0,35.78048780487805,0.08270399999992151,8.2,a,26119278,58.66452528682927,16.455580318780488,196.121950102439,23.0,584434.2787882341,6503613.842551341,108.90229622637305
427,1235.0,58:6e:74:23:fd:d5,-95.5,39.0,10.6,0.4,a,26119280,58.664772035,16.455407145000002,188.7999954,53.0,584423.6383041107,6503641.094609873,113.64636663857242
442,1235.0,f5:f7:c7:9e:a5:1f,-93.0,52.029411764705884,10.6,6.8,a,26119281,58.66469147588235,16.45538868882353,192.26470677058822,12.0,584422.7624493762,6503632.102872413,91.82542835656287
423,1235.0,44:20:a9:69:0c:92,-96.0,18.0,10.6,1.8,a,26119292,58.66461562999999,16.45537186,195.16667005555556,16.0,584421.9695916438,6503623.637899891,118.59710123376694
440,1235.0,e8:70:7b:ae:08:ad,-96.0,8.0,10.6,0.6,a,26119302,58.6647199,16.455395383333336,190.89999896666666,39.0,584423.0820687301,6503635.2757064095,118.59710123376694
431,1235.0,60:18:fc:6c:6b:20,-97.0,17.0,10.6,0.4,a,26119308,58.66461563,16.45537186,195.25,7.0,584421.9695916438,6503623.6378998915,129.1549665014884
422,1235.0,1b:b2:42:44:72:86,-97.5,31.0,10.6,1.2,a,26119311,58.66467412166667,16.455384256666665,193.3666687,6.0,584422.5473049021,6503630.165279017,134.78129649084582
441,1235.0,e8:a8:e0:28:59:e0,-91.0,27.0,10.6,0.6,a,26119316,58.66461562999999,16.45537186,195.20000203333333,21.0,584421.9695916438,6503623.637899891,77.4263682681127
437,1235.0,ce:2e:0e:b2:67:79,-94.0,28.0,10.6,0.4,PN_0CD1623B,26119317,58.66461563,16.45537186,195.25,27.0,584421.9695916438,6503623.6378998915,100.0
436,1235.0,c6:86:5b:f6:89:b6,-91.0,27.0,10.6,0.4,a,26119324,58.66461563,16.45537186,195.1000061,22.0,584421.9695916438,6503623.6378998915,77.4263682681127
429,1235.0,5a:e8:e6:14:9b:ff,-100.0,31.0,10.6,0.2,a,26119325,58.66461563,16.45537186,195.1000061,19.0,584421.9695916438,6503623.6378998915,166.81005372000593
424,1235.0,4c:1d:01:b5:bf:a9,-99.0,19.0,10.6,1.0,a,26119328,58.66461563,16.45537186,195.1000061,28.0,584421.9695916438,6503623.6378998915,153.17404637020798
432,1235.0,63:35:fa:c5:7a:89,-97.5,17.0,10.6,0.4,a,26119343,58.66461563,16.45537186,195.1000061,17.0,584421.9695916438,6503623.6378998915,134.78129649084582
439,1235.0,d3:7a:34:8e:16:cc,-96.0,27.0,10.6,0.2,a,26119345,58.66461563,16.45537186,195.1000061,25.0,584421.9695916438,6503623.6378998915,118.59710123376694
