Classification,Latitude,Longitude,Fingerprint
2.0,58.592605783195054,16.17224036374707,
15.0,58.59175308856462,16.172054316599315,S9ea4bc1079dc0254C
19.0,58.59191630919677,16.17192957693007,LG-PK5(6E)
23.0,58.5923103365289,16.17223923345498,
17.0,58.5921374722527,16.17228349072297,Scooter1
11.0,58.5926069571571,16.17225345399761,
8.0,58.592597030738936,16.17224527596063,ACTON III [LE]
1.0,58.59260650393085,16.172244919587936,
4.0,58.59260793015974,16.172245431454474,
3.0,58.59164985832857,16.172169756714496,
25.0,58.59251698068389,16.172255469759506,
10.0,58.59098954466896,16.171588059886993,
6.0,58.59260492900379,16.17223112363924,
18.0,58.592605288473514,16.172236467629617,
13.0,58.592446593147976,16.170998791472247,
7.0,58.592607723726296,16.172254982315412,
22.0,58.591948642272726,16.172117830468654,
14.0,58.59209989840866,16.17223793794392,S941d6337df901c49C
0.0,58.592607022517015,16.172241508108346,
21.0,58.59259742796439,16.172219301305386,
16.0,58.59261678561292,16.172273361264306,
49.0,58.59263503174349,16.16951706778643,
54.0,58.5925745636768,16.17016406673771,
53.0,58.592633096539046,16.169444289912747,
50.0,58.592624897129376,16.16905278296091,
52.0,58.592616960733835,16.16917438817981,
29.0,58.59089101949556,16.169510026368684,LE-Bose Revolve+ SoundLink
65.0,58.591056692886546,16.168582463436962,
75.0,58.59128542726949,16.169202709864607,
73.0,58.591048433351126,16.169227395267256,
71.0,58.59235932146735,16.169590277243024,
51.0,58.59221557506302,16.169598156866147,
80.0,58.591969097531766,16.16897118989078,
77.0,58.59078128536858,16.17152614816015,
85.0,58.59194395387357,16.169220089986304,
83.0,58.5919207608049,16.169010435815657,
86.0,58.59122399427057,16.169258435208256,
84.0,58.59098791118122,16.170202464474002,LE-Bose Revolve+ SoundLink
87.0,58.59137897571695,16.169234536700273,
88.0,58.59227570686967,16.172311436942,B4E55331331E30AEE9
90.0,58.592164481698916,16.1698428199814,
89.0,58.5920883451968,16.17104009954551,
94.0,58.59252192664403,16.169903620720763,
93.0,58.59220442080572,16.171056639608036,
99.0,58.59253541019838,16.16986244793436,
98.0,58.59117928588716,16.170936229313178,
97.0,58.591773976975695,16.172310934647616,Scooter1
81.0,58.59065791283707,16.171659216435675,
105.0,58.590846481924686,16.171595571493732,
104.0,58.59227098731511,16.169863529338514,
108.0,58.592453862412796,16.169844535357807,
107.0,58.590898412192544,16.17185836236036,
106.0,58.590582475362055,16.171000712883945,
115.0,58.591247403799066,16.170652417406544,
79.0,58.590186094760725,16.1710681855167,
116.0,58.59078869570428,16.171298716601882,S34b0d04689a838a7C
113.0,58.590610675494204,16.171078145463294,
111.0,58.59051358087989,16.171272202056784,
55.0,58.59094596715675,16.172114400077096,
119.0,58.59119485599002,16.170433086815525,
123.0,58.59194395387357,16.169220089986304,
121.0,58.59164709870566,16.17088587044173,
128.0,58.59047916586768,16.17099768152437,
124.0,58.59058186368228,16.171357883750684,
118.0,58.591675588025,16.172165407581844,
122.0,58.59048106182168,16.17138670190864,
129.0,58.59047120001413,16.171007593695208,
127.0,58.59044398455999,16.171276737565154,
