"row_id","rssi","fingerprint","created_at","network_time","frame_length","type","json_time","mac","sniffer_id","location","payload","ssid","gnss_time","gnss_speed","gnss_altitude","gnss_accuracy","gnss_vsat","gnss_usat","time"
18272588,-77,"","2024-01-25 13:41:24.32703","2024-01-25 13:41:14.414309",0,"arrival_0","2024-01-25 13:41:14.917267","7F:7E:F7:AD:B5:95","B4:8A:0A:31:5E:EC","0101000020E61000001901F47F37413240900BF75FA1B24D40","binary data",NULL,"2024-01-25 12:41:14","0","74.59999847","0.600000024",13,10,"2573.582203"
18273552,-77,"","2024-01-25 13:42:09.314288","2024-01-25 13:41:59.414301",0,"arrival_0","2024-01-25 13:41:59.562952","7F:7E:F7:AD:B5:95","B4:8A:0A:31:5E:EC","0101000020E6100000F75C01E0334132403188FEBFA0B24D40","binary data",NULL,"2024-01-25 12:42:00","12.96000004","77.59999847","0.600000024",13,10,"2618.569461"
18272602,-77,"","2024-01-25 13:41:24.32703","2024-01-25 13:41:20.414302",0,"arrival_0","2024-01-25 13:41:20.732466","7F:7E:F7:AD:B5:95","B4:8A:0A:31:5E:EC","0101000020E610000084C70AC037413240900BF75FA1B24D40","binary data",NULL,"2024-01-25 12:41:21","0","75.19999695","0.600000024",12,10,"2573.582203"
18265619,-77,"","2024-01-25 13:34:07.109213","2024-01-25 13:33:53.414304",0,"arrival_0","2024-01-25 13:33:53.51559","7F:7E:F7:AD:B5:95","B4:8A:0A:31:5E:EC","0101000020E6100000E8A308805C413240245C0A408AB24D40","binary data",NULL,"2024-01-25 12:33:53","20.93000031","101.5999985","0.699999988",13,10,"2136.364386"
18273557,-78,"","2024-01-25 13:42:09.314288","2024-01-25 13:42:00.414301",0,"arrival_0","2024-01-25 13:42:01.256467","7F:7E:F7:AD:B5:95","B4:8A:0A:31:5E:EC","0101000020E61000005E5CF45F31413240C054F9BF9FB24D40","binary data",NULL,"2024-01-25 12:42:01","16.47999954","77","0.600000024",13,10,"2618.569461"
18272627,-78,"","2024-01-25 13:41:35.528607","2024-01-25 13:41:28.414302",0,"arrival_0","2024-01-25 13:41:28.703994","7F:7E:F7:AD:B5:95","B4:8A:0A:31:5E:EC","0101000020E610000084C70AC037413240900BF75FA1B24D40","binary data",NULL,"2024-01-25 12:41:29","0","75.5","0.600000024",12,10,"2584.783780"
18265618,-78,"","2024-01-25 13:34:07.109213","2024-01-25 13:33:53.414304",0,"arrival_0","2024-01-25 13:33:53.463938","7F:7E:F7:AD:B5:95","B4:8A:0A:31:5E:EC","0101000020E6100000E8A308805C413240245C0A408AB24D40","binary data",NULL,"2024-01-25 12:33:53","20.93000031","101.5999985","0.699999988",13,10,"2136.364386"
18272595,-78,"","2024-01-25 13:41:24.32703","2024-01-25 13:41:17.414301",0,"arrival_0","2024-01-25 13:41:17.813998","7F:7E:F7:AD:B5:95","B4:8A:0A:31:5E:EC","0101000020E6100000CC2D084037413240C56E0280A1B24D40","binary data",NULL,"2024-01-25 12:41:18","0","74.90000153","0.600000024",12,10,"2573.582203"
18273562,-78,"","2024-01-25 13:42:09.314288","2024-01-25 13:42:05.414302",0,"arrival_0","2024-01-25 13:42:06.369036","7F:7E:F7:AD:B5:95","B4:8A:0A:31:5E:EC","0101000020E61000008375F3BF22413240166006009AB24D40","binary data",NULL,"2024-01-25 12:42:07","9.449999809","76.80000305","0.600000024",13,10,"2618.569461"
18272597,-79,"","2024-01-25 13:41:24.32703","2024-01-25 13:41:17.414308",0,"arrival_0","2024-01-25 13:41:18.3663","7F:7E:F7:AD:B5:95","B4:8A:0A:31:5E:EC","0101000020E6100000CC2D084037413240C56E0280A1B24D40","binary data",NULL,"2024-01-25 12:41:18","0","74.90000153","0.600000024",12,10,"2573.582203"
